Wall time,Step,Value
1575870070.8793535,168,84.70008850097656
1575870095.017765,475,153.87135314941406
1575870100.1688738,537,126.08222198486328
1575870104.3445096,587,56.73334503173828
1575870109.4186368,648,89.10942840576172
1575870172.9250686,1438,129.54286193847656
1575870196.9950829,1739,144.19505310058594
1575870242.636796,2310,82.82905578613281
1575870249.3442585,2392,41.87849044799805
1575870257.1878562,2489,164.7282257080078
1575870318.9973896,3250,162.24061584472656
1575870420.0778365,4497,164.2593231201172
1575870472.8624048,5140,70.83274841308594
1575870536.0353653,5913,158.41860961914062
1575870543.0571084,5996,132.9275360107422
1575870599.9320016,6706,117.52827453613281
1575870600.960824,6718,123.75411987304688
1575870622.24424,6973,113.11902618408203
1575870662.387261,7471,113.20188903808594
1575870689.3249984,7806,86.03376770019531
1575870692.343776,7841,176.57391357421875
1575870721.788503,8189,72.27487182617188
1575870725.1467078,8230,121.15666198730469
1575870747.4805164,8507,80.86356353759766
1575870809.9627304,9270,83.14104461669922
1575870826.94258,9478,126.22791290283203
1575870903.8360164,10410,137.8516387939453
1575870945.799089,10916,132.390625
1575870950.9242265,10977,145.89013671875
1575870996.8217628,11544,90.58209991455078
1575871032.9260645,11981,69.70861053466797
1575871108.4229715,12890,76.11493682861328
1575871121.552848,13047,131.61911010742188
1575871226.7424212,14309,68.69056701660156
1575871257.4489195,14683,146.2511444091797
1575871266.6892896,14794,124.50318145751953
1575871325.35901,15489,70.52305603027344
1575871379.8561702,16133,71.54824829101562
1575871441.363226,16874,84.142333984375
1575871461.3267908,17114,67.71437072753906
1575871479.2922783,17335,112.84817504882812
1575871498.0790105,17561,164.79031372070312
1575871661.4162984,19551,53.80025100708008
1575871670.30884,19660,66.87413024902344
1575871677.6270175,19751,126.24932098388672
1575871704.600331,20082,166.77667236328125
1575871743.3445501,20560,83.86007690429688
1575871746.4968987,20599,113.73271942138672
1575871763.3642375,20803,160.72665405273438
1575871769.5400043,20876,155.91098022460938
1575871788.1864855,21101,68.84481048583984
1575871793.5750644,21165,135.06068420410156
1575871807.748394,21341,66.36750030517578
1575871890.785803,22353,127.52008056640625
1575871893.2325056,22381,55.23122787475586
1575871970.4089375,23310,84.17831420898438
1575871976.516349,23385,169.68087768554688
1575871982.1897917,23451,69.15103912353516
1575872002.6684194,23694,99.01405334472656
1575872005.2853775,23725,58.8393669128418
1575872042.2435172,24171,71.78852081298828
1575872056.335441,24347,130.76931762695312
1575872090.000935,24752,128.7886199951172
1575872106.7371335,24959,130.50379943847656
1575872133.105001,25279,126.24589538574219
1575872261.24579,26824,96.01943969726562
1575872329.6840026,27631,113.20188903808594
1575872442.7752051,28999,123.03009796142578
1575872444.9818218,29025,128.51470947265625
1575872467.3776076,29293,65.42699432373047
1575872514.054733,29859,78.73225402832031
1575872528.9109404,30035,60.33811950683594
1575872566.9603693,30501,137.0142364501953
1575872578.6304085,30643,140.18495178222656
1575872586.5822806,30737,141.80624389648438
1575872587.7345638,30751,114.14434051513672
1575872644.1208205,31438,129.0590362548828
1575872647.0614889,31475,156.00193786621094
1575872686.9175286,31968,91.75830841064453
1575872729.9116018,32468,133.9852294921875
1575872768.388466,32927,111.09097290039062
1575872769.0481126,32935,109.98944854736328
1575872792.2239435,33214,127.27412414550781
1575872807.8618422,33409,79.94660186767578
1575872837.0282807,33771,62.94060516357422
1575872838.0289466,33783,92.10494995117188
1575872841.089894,33819,73.51016235351562
1575872845.7462873,33873,127.9742660522461
1575872848.8651078,33910,137.05860900878906
1575872852.0530949,33947,106.02091217041016
1575872889.1382997,34397,74.317626953125
1575872902.399562,34560,90.94922637939453
